date,interval_index,interval_start_min,interval_end_min,price_yuan_per_kwh,load_actual_kwh,pv_actual_kwh,zero_plan_kwh,final_plan_kwh,charge_kwh,discharge_kwh,used_plan_kwh,emergency_kwh,pv_used_kwh,curtail_kwh,spill_kwh,soc_start_kwh,soc_end_kwh,balance_residual_kwh,market_cost_yuan,emergency_cost_yuan,alternative_market_cost_yuan
2025-02-01,0,0,10,0.3281,422.0303666666667,0.0,1301.9068286858958,1301.9068286858958,833.3333333333334,0.0,1255.3637,0.0,0.0,0.0,0.0,6000.0,6750.0,1.1368683772161603e-13,427.15563049184243,0.0,427.15563049184243
2025-02-01,1,10,20,0.3257,415.4073166666667,0.0,479.6071812416944,479.6071812416944,0.0,0.0,415.4073166666667,0.0,0.0,0.0,0.0,6750.0,6750.0,0.0,156.20805893041987,0.0,156.20805893041987
2025-02-01,2,20,30,0.3041,410.7166666666667,0.0,1312.9869121139188,1312.9869121139188,833.3333333333334,0.0,1244.0500000000002,0.0,0.0,0.0,0.0,6750.0,7500.0,1.1368683772161603e-13,399.2793199738427,0.0,399.2793199738427
2025-02-01,3,30,40,0.3126,430.29479999999995,0.0,1326.7635244134603,1326.7635244134603,833.3333333333334,0.0,1263.6281333333334,0.0,0.0,0.0,0.0,7500.0,8250.0,1.1368683772161603e-13,414.7462777316477,0.0,414.7462777316477
2025-02-01,4,40,50,0.3286,424.4105833333333,0.0,1340.3486484189314,1340.3486484189314,833.3333333333334,0.0,1257.7439166666668,0.0,0.0,0.0,0.0,8250.0,9000.0,1.1368683772161603e-13,440.4385658704609,0.0,440.4385658704609
2025-02-01,5,50,60,0.3438,406.0516666666667,0.0,562.2289777241803,562.2289777241803,0.0,0.0,406.0516666666667,0.0,0.0,0.0,0.0,9000.0,9000.0,0.0,193.2943225415732,0.0,193.29432254157317
2025-02-01,6,60,70,0.3704,436.7501833333333,0.0,503.0879304825773,503.0879304825773,0.0,0.0,436.7501833333333,0.0,0.0,0.0,0.0,9000.0,9000.0,0.0,186.34376945074663,0.0,186.34376945074663
2025-02-01,7,70,80,0.3746,451.7976833333333,0.0,834.8326514669943,834.8326514669943,333.3333333333333,0.0,785.1310166666666,0.0,0.0,0.0,0.0,9000.0,9300.0,0.0,312.7283112395361,0.0,312.7283112395361
2025-02-01,8,80,90,0.3606,446.08,0.0,489.13658228946895,489.13658228946895,0.0,0.0,446.08,0.0,0.0,0.0,0.0,9300.0,9300.0,0.0,176.38265157358248,0.0,176.38265157358248
2025-02-01,9,90,100,0.3582,471.7663333333333,0.0,528.4635325435894,528.4635325435894,0.0,0.0,471.7663333333333,0.0,0.0,0.0,0.0,9300.0,9300.0,0.0,189.29563735711372,0.0,189.29563735711372
