date,scenario,interval,L_scen_kwh,G_scen_kwh,P_scen_yuan_per_kwh
2025-07-15,1,1,815.6969987088428,0.0,0.46623500593312
2025-07-15,1,2,822.0633208796395,0.0,0.43603496609086023
2025-07-15,1,3,850.9646865415676,0.0,0.36518871819593557
2025-07-15,1,4,866.635841166138,0.0,0.43860088907774547
2025-07-15,1,5,930.0186612891334,0.0,0.5162930630866882
2025-07-15,1,6,918.6780160723524,0.0,0.529992033653061
2025-07-15,1,7,912.0903523211729,0.0,0.5374054846400734
2025-07-15,1,8,854.8602573708624,0.0,0.5319860721468238
2025-07-15,1,9,867.4457238819774,0.0,0.5085373554197328
2025-07-15,1,10,903.7430408374739,0.0,0.4660179883365999
2025-07-15,1,11,893.7587688321255,0.0,0.458981404789685
2025-07-15,1,12,875.5769515790221,0.0,0.49530544832785106
2025-07-15,1,13,896.8839503503679,0.0,0.5451352951108318
2025-07-15,1,14,871.8977630425618,0.0,0.46012333439823233
2025-07-15,1,15,847.4510455835104,0.0,0.34586099023619393
2025-07-15,1,16,874.882612517587,0.0,0.43325193931106104
2025-07-15,1,17,907.1486149729681,0.0,0.49168463987734623
2025-07-15,1,18,891.4560173568748,0.0,0.4385322137516976
2025-07-15,1,19,859.3044068417364,0.0002833333333333333,0.41407722941349556
2025-07-15,1,20,853.9289616191627,0.0,0.3776560819106808
2025-07-15,1,21,816.8241319608044,0.0,0.3805945255841439
2025-07-15,1,22,829.0522211542759,0.004,0.46806304381136443
2025-07-15,1,23,841.2642554881861,0.0,0.44596750121256074
2025-07-15,1,24,829.7626018662463,0.0,0.37609350062479796
2025-07-15,1,25,789.6393606788032,0.055716666666666664,0.39393267655475483
2025-07-15,1,26,783.9568779151142,0.0,0.4327450380626265
2025-07-15,1,27,816.2838241725665,0.0,0.44086812665950814
2025-07-15,1,28,813.4429878645415,1.0953816445477687,0.438602399762072
2025-07-15,1,29,806.88359285134,0.0,0.4500120508213453
2025-07-15,1,30,810.5790176845228,0.0,0.40919251411653657
2025-07-15,1,31,756.9630107320988,17.705331726226486,0.3610053568009074
2025-07-15,1,32,770.7576723742986,46.56557886078996,0.35279454806089394
2025-07-15,1,33,823.9879162792079,81.11908017732978,0.3489398666100585
2025-07-15,1,34,795.5138474016926,117.94098541554304,0.2816084260152982
2025-07-15,1,35,817.3673902933909,166.1247515886643,0.43363291022216216
2025-07-15,1,36,969.4419093064973,215.1527750592827,0.6875600012844847
2025-07-15,1,37,984.7803152408414,244.8921688698029,0.653283711934875
2025-07-15,1,38,936.0174439224317,286.3521296695452,0.6818855183040922
2025-07-15,1,39,920.4685624947142,339.21343513847495,0.8258896274439218
2025-07-15,1,40,958.3389316950704,373.3775162229901,0.7475911340692332
2025-07-15,1,41,969.9864036329034,418.2739237845003,0.6373317074379418
2025-07-15,1,42,943.2916605352538,486.48060628691127,0.6041297634161112
2025-07-15,1,43,966.5803551654678,557.3386939621424,0.5893219806123992
2025-07-15,1,44,921.5451746699596,605.0793020541556,0.5630747594111692
2025-07-15,1,45,847.0563696969482,637.7226461392262,0.489117315382273
2025-07-15,1,46,875.5686186393239,684.8833702567093,0.4677071263708483
2025-07-15,1,47,998.2272997764173,734.7636843221585,0.5525974979196324
2025-07-15,1,48,1202.265711980016,776.1613042685182,0.6930036611808768
2025-07-15,1,49,1222.3803737548935,808.5230814742209,0.7903505721413732
2025-07-15,1,50,1213.3781584107792,835.0418220192997,0.8049707230093969
2025-07-15,1,51,1239.0917880385596,871.7936605830442,0.7457556114414435
2025-07-15,1,52,1223.9158626591504,939.2925423938532,0.7322283400090593
2025-07-15,1,53,1237.111047523524,979.4203293811606,0.7646125734619057
2025-07-15,1,54,1203.1095718037564,998.8663482146395,0.8000271632648887
2025-07-15,1,55,1207.784258781729,1057.7326591453493,0.7421044718001173
2025-07-15,1,56,1204.8358024860092,1129.9413760631414,0.6572476823236116
2025-07-15,1,57,1205.1994602730915,1186.2307695864704,0.6243042495783222
2025-07-15,1,58,1196.8652639648171,1220.4880669098181,0.5994848261175171
2025-07-15,1,59,1151.9336856911868,1261.6177246889752,0.7069275991881238
2025-07-15,1,60,1113.8936941262803,1314.9076193313256,0.865993516832401
2025-07-15,1,61,1179.5501582774389,1346.0986977095417,0.9082138758024019
2025-07-15,1,62,1217.8601508453992,1339.1148130784668,0.8089700252069362
2025-07-15,1,63,1195.2737055160555,1328.8060315542027,0.7812091821935457
2025-07-15,1,64,1199.9804263724902,1371.2253769622146,0.8857116869550756
2025-07-15,1,65,1181.3993779149598,1413.270346939138,0.6166738007235991
2025-07-15,1,66,1168.0864535731625,1454.3586530017396,0.12973397758592142
2025-07-15,1,67,1197.481228032938,1545.8181401272814,0.008198049859434176
2025-07-15,1,68,1215.6303840296564,1643.0739758576651,0.054400890566590476
2025-07-15,1,69,1198.0898615679325,1709.6124484587174,0.05450648906801858
2025-07-15,1,70,1181.3206439169633,1734.1780246059905,0.018715832909707575
2025-07-15,1,71,1166.143835632617,1671.8162338351265,0.017789998087222814
2025-07-15,1,72,1136.40319523386,1613.2827909216658,0.06327505054984828
2025-07-15,1,73,1141.9015930756934,1696.3158397877064,0.10068579942445538
2025-07-15,1,74,1134.667682799116,1714.2339083852464,0.1373728002040478
2025-07-15,1,75,1135.5282088389965,1637.7471343148782,0.11710003912386652
2025-07-15,1,76,1107.8882987527154,1633.031757007138,0.06595287200980238
2025-07-15,1,77,1191.9714275433357,1588.3374682139845,0.28617459186255245
2025-07-15,1,78,1285.2485166006988,1487.7716823903993,0.6580375143801576
2025-07-15,1,79,1203.2204469666867,1443.037587053747,0.7099099688120137
2025-07-15,1,80,1147.831750641834,1398.1921841879275,0.6738320095535747
2025-07-15,1,81,1200.5790624540377,1334.170632308331,0.681259795989607
2025-07-15,1,82,1257.3950375945976,1295.346798407104,0.6832861848382844
2025-07-15,1,83,1219.8245262717699,1252.3975136278352,0.7833828937771935
2025-07-15,1,84,1191.4638216232188,1214.6597294181597,0.926849894325773
2025-07-15,1,85,1212.7709248503907,1220.3364998183624,0.9113043786148054
2025-07-15,1,86,1244.2541317497048,1196.3390386182482,0.8830983230738556
2025-07-15,1,87,1288.161901117639,1131.3435551051753,0.9879447472199203
2025-07-15,1,88,1314.6385627167379,1088.3944855346294,1.0503777681383641
2025-07-15,1,89,1314.940324413567,1055.3799058144928,0.8251976772836184
2025-07-15,1,90,1294.3826967415725,1031.9860548109637,0.4701944926460524
2025-07-15,1,91,1263.4468135446245,1028.8303136991472,0.43835656452806193
