date,scenario,interval,L_scen_kwh,G_scen_kwh,P_scen_yuan_per_kwh
2025-07-15,1,92,1265.2829949426891,976.120141804694,0.5169984268579669
2025-07-15,1,93,1279.1347580498941,885.5018414719563,0.5483083837374306
2025-07-15,1,94,1280.5347221486054,842.2708839905669,0.5647601428416716
2025-07-15,1,95,1287.2499711379558,804.1634845751287,0.592027015543224
2025-07-15,1,96,1293.6987042308515,749.4961918753893,0.6311905934868803
2025-07-15,1,97,1274.2744735000356,709.6086481563269,0.6308944545035712
2025-07-15,1,98,1254.3655531419206,700.7177407026783,0.5867553145013652
2025-07-15,1,99,1250.028030282374,682.2842697033965,0.6178393997107599
2025-07-15,1,100,1312.191290721884,594.3774765773132,0.7291753177909428
2025-07-15,1,101,1292.4575942488623,513.5308156964109,0.7254983510176292
2025-07-15,1,102,1235.5097886412036,479.4336301296427,0.6356139856533501
2025-07-15,1,103,1287.4788123586573,461.28936447176505,0.6048200318761834
2025-07-15,1,104,1365.63044272445,421.3928259994395,0.707911524792725
2025-07-15,1,105,1381.3060878268207,361.16913135022963,0.7833601788262015
2025-07-15,1,106,1341.0023451387597,314.3933286559144,0.7055152338505232
2025-07-15,1,107,1232.8444363544404,269.6771903031722,0.8805222429831399
2025-07-15,1,108,1020.1595280538799,215.35156962375424,1.1879442209797273
2025-07-15,1,109,1010.9056178243621,157.7278209906349,1.1494539152525136
2025-07-15,1,110,974.9546811427233,113.9790733931504,1.1235220106653234
2025-07-15,1,111,1007.789596918745,81.82910407468674,1.1799441167674127
2025-07-15,1,112,1085.7429094231306,44.86412592466315,1.190162576762538
2025-07-15,1,113,1111.8834404338656,15.05946157192761,1.2698662857682916
2025-07-15,1,114,1071.3833362990526,0.0,1.5413073505995554
2025-07-15,1,115,982.3344950081151,0.0,1.6426579580589304
2025-07-15,1,116,983.0137828472223,1.0540252831766264,1.5722979315678192
2025-07-15,1,117,958.8177414607512,0.0,1.442395277027785
2025-07-15,1,118,1018.8772489691922,0.0,1.4425197756793846
2025-07-15,1,119,1052.2433135801664,0.05136666666666666,1.4854124151754324
2025-07-15,1,120,1058.3202360420996,0.0,1.5641451263570794
2025-07-15,1,121,1031.9338737678036,0.0,1.6105089558869745
2025-07-15,1,122,1052.3503543897932,0.0036833333333333336,1.6116237572119247
2025-07-15,1,123,1084.9609723526282,0.0,1.5435562861435808
2025-07-15,1,124,1038.847687068308,0.0,1.5173158334582688
2025-07-15,1,125,993.4231753165234,0.0002666666666666667,1.3160067525660728
2025-07-15,1,126,1017.297481842512,0.0,1.0412411127059675
2025-07-15,1,127,1105.5904859340983,0.0,0.9259075144687581
2025-07-15,1,128,1029.5188061226913,0.0,0.9236268018300992
2025-07-15,1,129,957.1820287996701,0.0,0.9620654858915443
2025-07-15,1,130,1027.590146334136,0.0,0.9807330536307335
2025-07-15,1,131,981.9320790309017,0.0,0.7780875426754468
